PARAMETER,VALUE,UNITS/NOTES
UPASserial,0807,(UPAS serial identification-numerical)
UPASfirmware,UPAS_v2_0-rev0131-L152RE_20220705_mbed116.bin compiledJul  5 2022_23:30:46UTC,(installed firmware version)
LifetimeSampleCount,29,(count-total lifetime sample runs)
LifetimeSampleRuntime,215.17,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

UPASlogFilename,/sd/PS0807_LOG_2022-07-07T18_47_50UTC_SunFan_____________---.txt,(log file filename-automatically defined)
SampleName,SunFan_________,(Sample Name-user entered into app)
CartridgeID,---,(Cartridge Identification-user entered into app)




SETUP SUMMARY

GPSUTCOffset,-6.00,(hours offset from UTC date time)
StartOnNextPowerUp,0,(0=no 1=yes)
ProgrammedStartDelay,773,(s)
ProgrammedRuntime,360000000,(s) (360000000 means 'indefinite')
VolumetricFlowRate,2.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
LogFileMode,0,(0=normal 1=debug)
LogInterval,30,(s)
AppLock,0,(0=unlocked 1=locked -1=not set)
AppVersion,i2.2.2,(i=iOS A=Android)




SAMPLE SUMMARY

StartDateTimeUTC,2022-07-07T18:47:50,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartDateTimeLocal,2022-07-07T12:47:50,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
StartBatteryCharge,100,(%)
StartBatteryVoltage,4.21,(V)
EndDateTimeUTC,2022-07-13T01:29:55,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndDateTimeLocal,2022-07-12T19:30:00,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
EndBatteryCharge,100,(%)
EndBatteryVoltage,4.21,(V)
ShutdownMode,1,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample)
SampledVolume,15149.46,(L)
SampledRuntime,126.478,(Hr)
LoggedRuntime,126.478,(Hr)
AverageVolumetricFlowRate,1.996,(L*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:00:11,1657220490,2022-07-07T19:01:30,2022-07-07T13:01:30,2.018,0.40,32.01,34.77,33.13,848.61,845.09,171.399994,31.42,0.9583,278,0,12.837,1.93438,4.21,53088,40.564747,-105.073031,1524.7,12,0.024158,0.7
0:00:41,1657220520,2022-07-07T19:02:00,2022-07-07T13:02:00,2.017,1.41,32.45,34.78,33.72,848.57,845.75,171.233337,31.16,0.9576,278,0,12.814,1.92434,4.21,53092,40.564749,-105.073033,1526.0,12,0.020560,0.7
0:01:11,1657220550,2022-07-07T19:02:30,2022-07-07T13:02:30,2.017,2.42,32.75,34.77,34.13,848.57,846.21,170.516663,30.11,0.9573,279,0,12.816,1.92953,4.21,53097,40.564735,-105.073014,1525.5,12,0.015420,0.7
0:01:41,1657220580,2022-07-07T19:03:00,2022-07-07T13:03:00,2.014,3.43,32.99,34.80,34.45,848.59,846.46,170.783340,29.81,0.9568,279,0,12.795,1.91951,4.21,53101,40.564738,-105.073042,1527.3,12,0.009252,0.7
0:02:11,1657220610,2022-07-07T19:03:30,2022-07-07T13:03:30,2.014,4.43,33.18,34.78,34.67,848.51,846.79,170.183334,29.54,0.9565,280,0,12.791,1.92468,4.17,53101,40.564747,-105.073057,1525.5,12,0.008224,0.8
0:02:41,1657220640,2022-07-07T19:04:00,2022-07-07T13:04:00,2.011,5.44,33.32,34.72,34.88,848.59,847.30,169.399994,29.16,0.9567,280,0,12.770,1.91641,4.17,53089,40.564748,-105.073049,1523.8,12,0.015420,0.7
0:03:11,1657220670,2022-07-07T19:04:30,2022-07-07T13:04:30,2.010,6.44,33.42,34.58,34.99,848.47,847.46,168.199997,28.98,0.9566,280,0,12.769,1.91916,4.17,53077,40.564752,-105.073061,1523.2,12,0.021588,0.7
0:03:41,1657220700,2022-07-07T19:05:00,2022-07-07T13:05:00,2.010,7.45,33.50,34.50,35.10,848.54,847.70,168.483337,28.77,0.9566,280,0,12.767,1.92089,4.17,53065,40.564732,-105.073034,1526.6,12,0.010794,0.7
0:04:11,1657220730,2022-07-07T19:05:30,2022-07-07T13:05:30,2.010,8.45,33.56,34.39,35.17,848.50,848.00,170.350006,28.85,0.9567,280,0,12.767,1.91847,4.16,53053,40.564731,-105.073014,1528.2,12,0.018504,0.7
0:04:41,1657220760,2022-07-07T19:06:00,2022-07-07T13:06:00,2.008,9.46,33.61,34.33,35.27,848.54,848.13,169.399994,28.78,0.9567,280,0,12.765,1.92814,4.16,53041,40.564726,-105.073016,1525.7,12,0.008224,0.8
0:05:11,1657220790,2022-07-07T19:06:30,2022-07-07T13:06:30,2.008,10.46,33.65,34.25,35.31,848.59,848.26,169.250000,29.02,0.9567,280,0,12.763,1.92849,4.16,53029,40.564734,-105.073026,1524.4,12,0.010280,0.7
0:05:41,1657220820,2022-07-07T19:07:00,2022-07-07T13:07:00,2.008,11.47,33.67,34.18,35.37,848.59,848.37,169.600006,28.68,0.9568,280,0,12.763,1.92227,4.16,53017,40.564737,-105.073024,1524.9,12,0.010794,0.7
0:06:11,1657220850,2022-07-07T19:07:30,2022-07-07T13:07:30,2.006,12.47,33.70,34.13,35.31,848.48,848.48,168.233337,28.33,0.9569,280,0,12.762,1.91641,4.16,53005,40.564736,-105.073004,1527.2,12,0.043690,0.7
0:06:41,1657220880,2022-07-07T19:08:00,2022-07-07T13:08:00,2.007,13.47,33.69,34.04,35.38,848.59,848.62,168.766663,28.32,0.9571,280,0,12.761,1.92884,4.16,52993,40.564731,-105.072999,1526.8,12,0.010794,0.8
0:07:11,1657220910,2022-07-07T19:08:30,2022-07-07T13:08:30,2.006,14.48,33.69,34.00,35.37,848.51,848.59,171.850006,28.55,0.9570,280,0,12.762,1.92296,4.16,52981,40.564723,-105.073032,1524.2,12,0.042148,0.7
0:07:41,1657220940,2022-07-07T19:09:00,2022-07-07T13:09:00,2.007,15.48,33.70,33.94,35.38,848.56,848.81,167.683334,28.72,0.9572,280,0,12.761,1.91847,4.16,52969,40.564729,-105.073045,1524.2,12,0.005140,0.7
0:08:11,1657220970,2022-07-07T19:09:30,2022-07-07T13:09:30,2.004,16.48,33.69,33.89,35.38,848.56,848.81,167.666672,27.78,0.9575,280,0,12.760,1.91365,4.16,52957,40.564749,-105.073056,1521.3,12,0.007196,0.7
0:08:41,1657221000,2022-07-07T19:10:00,2022-07-07T13:10:00,2.003,17.48,33.68,33.84,35.37,848.61,848.86,169.899994,27.10,0.9577,280,0,12.760,1.92054,4.15,52945,40.564748,-105.073050,1521.8,12,0.033924,0.8
0:09:11,1657221030,2022-07-07T19:10:30,2022-07-07T13:10:30,2.002,18.48,33.65,33.80,35.40,848.62,849.03,169.716660,27.37,0.9579,280,0,12.758,1.91710,4.15,52933,40.564732,-105.073042,1522.3,12,0.064250,0.7
0:09:41,1657221060,2022-07-07T19:11:00,2022-07-07T13:11:00,2.001,19.48,33.64,33.75,35.38,848.60,849.11,168.399994,27.70,0.9580,280,0,12.758,1.91297,4.15,52921,40.564720,-105.073049,1523.0,12,0.016448,0.8
0:10:11,1657221090,2022-07-07T19:11:30,2022-07-07T13:11:30,2.001,20.48,33.62,33.67,35.33,848.71,849.14,166.616669,27.62,0.9581,280,0,12.758,1.90679,4.15,52909,40.564723,-105.073059,1520.5,12,0.028270,0.8
0:10:41,1657221120,2022-07-07T19:12:00,2022-07-07T13:12:00,2.001,21.48,33.61,33.63,35.35,848.65,849.14,168.633331,27.71,0.9581,280,0,12.757,1.91434,4.15,52897,40.564714,-105.073042,1522.1,12,0.076072,0.7
0:11:11,1657221150,2022-07-07T19:12:30,2022-07-07T13:12:30,2.001,22.49,33.58,33.60,35.33,848.63,849.28,168.416672,27.88,0.9583,280,0,12.757,1.91537,4.15,52885,40.564713,-105.073025,1523.0,12,0.017990,0.7
0:11:41,1657221180,2022-07-07T19:13:00,2022-07-07T13:13:00,2.000,23.49,33.56,33.57,35.29,848.66,849.34,167.233337,27.95,0.9585,280,0,12.757,1.91537,4.15,52873,40.564730,-105.073037,1523.7,12,0.007196,0.7
0:12:11,1657221210,2022-07-07T19:13:30,2022-07-07T13:13:30,1.999,24.49,33.53,33.52,35.26,848.77,849.42,169.300003,27.85,0.9587,280,0,12.754,1.91537,4.15,52861,40.564728,-105.073029,1526.4,12,0.027756,0.7
0:12:41,1657221240,2022-07-07T19:14:00,2022-07-07T13:14:00,1.999,25.48,33.51,33.48,35.24,848.75,849.29,167.133331,28.26,0.9585,280,0,12.754,1.91091,4.15,52849,40.564728,-105.072997,1525.8,12,0.022616,0.7
0:13:11,1657221270,2022-07-07T19:14:30,2022-07-07T13:14:30,1.999,26.48,33.48,33.43,35.20,848.86,849.51,168.833328,28.27,0.9589,280,0,12.757,1.90885,4.14,52837,40.564743,-105.072999,1525.6,12,0.007710,0.7
0:13:41,1657221300,2022-07-07T19:15:00,2022-07-07T13:15:00,1.998,27.48,33.45,33.39,35.19,848.95,849.59,170.583328,28.45,0.9590,280,0,12.754,1.92123,4.14,52825,40.564771,-105.073007,1526.5,12,0.020560,0.8
0:14:11,1657221330,2022-07-07T19:15:30,2022-07-07T13:15:30,1.996,28.48,33.41,33.37,35.15,848.95,849.65,170.566666,27.32,0.9595,280,0,12.754,1.90747,4.14,52813,40.564783,-105.073010,1528.8,12,0.000514,0.7
0:14:41,1657221360,2022-07-07T19:16:00,2022-07-07T13:16:00,1.996,29.48,33.39,33.30,35.11,849.03,849.57,168.083328,26.76,0.9596,280,0,12.753,1.91744,4.14,52801,40.564777,-105.073028,1527.1,12,0.004112,1.0
0:15:11,1657221390,2022-07-07T19:16:30,2022-07-07T13:16:30,1.993,30.48,33.34,33.28,35.07,848.99,849.69,166.433334,25.25,0.9602,280,0,12.754,1.90576,4.14,52789,40.564765,-105.073045,1526.4,12,0.003598,0.7
0:15:41,1657221420,2022-07-07T19:17:00,2022-07-07T13:17:00,1.992,31.47,33.29,33.22,35.06,849.00,849.63,168.833328,24.55,0.9605,280,0,12.753,1.92054,4.14,52777,40.564754,-105.073034,1526.3,12,0.016962,0.7
