PARAMETER,VALUE,UNITS/NOTES
UPASserial,1422,(UPAS serial identification-numerical)
UPASfirmware,UPAS_v2_0-rev0131-L152RE_20220705_mbed116.bin compiledJul  5 2022_23:30:46UTC,(installed firmware version)
LifetimeSampleCount,9,(count-total lifetime sample runs)
LifetimeSampleRuntime,31.38,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

UPASlogFilename,/sd/PS1422_LOG_2022-07-07T18_48_38UTC_Shade______________---.txt,(log file filename-automatically defined)
SampleName,Shade__________,(Sample Name-user entered into app)
CartridgeID,---,(Cartridge Identification-user entered into app)




SETUP SUMMARY

GPSUTCOffset,-6.00,(hours offset from UTC date time)
StartOnNextPowerUp,0,(0=no 1=yes)
ProgrammedStartDelay,709,(s)
ProgrammedRuntime,360000000,(s) (360000000 means 'indefinite')
VolumetricFlowRate,2.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
LogFileMode,0,(0=normal 1=debug)
LogInterval,30,(s)
AppLock,0,(0=unlocked 1=locked -1=not set)
AppVersion,i2.2.2,(i=iOS A=Android)




SAMPLE SUMMARY

StartDateTimeUTC,2022-07-07T18:48:38,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartDateTimeLocal,2022-07-07T12:48:38,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
StartBatteryCharge,100,(%)
StartBatteryVoltage,4.19,(V)
EndDateTimeUTC,2022-07-13T01:33:24,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndDateTimeLocal,2022-07-12T19:33:30,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
EndBatteryCharge,100,(%)
EndBatteryVoltage,4.14,(V)
ShutdownMode,1,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample)
SampledVolume,15149.87,(L)
SampledRuntime,126.541,(Hr)
LoggedRuntime,126.541,(Hr)
AverageVolumetricFlowRate,1.995,(L*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:00:27,1657220490,2022-07-07T19:01:30,2022-07-07T13:01:30,2.003,0.93,37.73,40.06,38.85,849.14,846.36,180.933334,21.99,0.9423,325,0,12.315,1.88664,4.20,53911,40.564735,-105.073076,1525.7,12,0.016962,0.9
0:00:57,1657220520,2022-07-07T19:02:00,2022-07-07T13:02:00,2.000,1.93,38.00,40.07,39.31,849.17,846.81,184.216660,21.43,0.9421,325,0,12.316,1.88305,4.20,53925,40.564743,-105.073078,1525.1,12,0.021588,0.9
0:01:27,1657220550,2022-07-07T19:02:30,2022-07-07T13:02:30,1.998,2.93,38.21,40.06,39.63,849.20,847.03,185.333328,21.45,0.9416,325,0,12.315,1.87915,4.20,53937,40.564714,-105.073058,1529.0,12,0.015420,0.8
0:01:57,1657220580,2022-07-07T19:03:00,2022-07-07T13:03:00,1.997,3.93,38.37,40.05,39.82,849.11,847.37,186.050003,21.16,0.9416,325,0,12.315,1.87736,4.20,53950,40.564724,-105.073088,1530.5,12,0.037522,0.8
0:02:27,1657220610,2022-07-07T19:03:30,2022-07-07T13:03:30,1.997,4.93,38.51,40.01,39.99,849.14,847.62,182.716660,20.95,0.9414,325,0,12.315,1.88095,4.20,53961,40.564717,-105.073091,1536.3,12,0.004626,0.8
0:02:57,1657220640,2022-07-07T19:04:00,2022-07-07T13:04:00,1.997,5.93,38.59,40.00,40.12,849.12,847.64,186.183334,20.80,0.9412,325,0,12.315,1.87975,4.20,53972,40.564750,-105.073099,1530.4,12,0.005654,0.7
0:03:27,1657220670,2022-07-07T19:04:30,2022-07-07T13:04:30,1.995,6.93,38.67,39.99,40.24,849.08,847.77,183.850006,20.60,0.9412,325,0,12.316,1.87467,4.20,53982,40.564775,-105.073106,1524.8,12,0.119248,0.7
0:03:57,1657220700,2022-07-07T19:05:00,2022-07-07T13:05:00,1.996,7.93,38.74,39.97,40.34,849.14,847.90,183.183334,20.40,0.9411,325,0,12.317,1.88005,4.20,53992,40.564764,-105.073117,1522.4,12,0.045746,0.7
0:04:27,1657220730,2022-07-07T19:05:30,2022-07-07T13:05:30,1.996,8.92,38.79,39.97,40.42,849.21,848.06,186.033340,20.43,0.9411,325,0,12.316,1.87646,4.20,54002,40.564788,-105.073132,1520.3,12,0.020560,0.7
