PARAMETER,VALUE,UNITS/NOTES
UPASserial,2073,(UPAS serial identification-numerical)
UPASfirmware,UPAS_v2_0-rev0131-L152RE_20220705_mbed116.bin compiledJul  5 2022_23:30:46UTC,(installed firmware version)
LifetimeSampleCount,5,(count-total lifetime sample runs)
LifetimeSampleRuntime,26.39,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

UPASlogFilename,/sd/PS2073_LOG_2022-07-07T18_46_48UTC_SunNoFan___________---.txt,(log file filename-automatically defined)
SampleName,SunNoFan_______,(Sample Name-user entered into app)
CartridgeID,---,(Cartridge Identification-user entered into app)




SETUP SUMMARY

GPSUTCOffset,-6.00,(hours offset from UTC date time)
StartOnNextPowerUp,0,(0=no 1=yes)
ProgrammedStartDelay,829,(s)
ProgrammedRuntime,360000000,(s) (360000000 means 'indefinite')
VolumetricFlowRate,2.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
LogFileMode,0,(0=normal 1=debug)
LogInterval,30,(s)
AppLock,0,(0=unlocked 1=locked -1=not set)
AppVersion,i2.2.2,(i=iOS A=Android)




SAMPLE SUMMARY

StartDateTimeUTC,2022-07-07T18:46:48,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartDateTimeLocal,2022-07-07T12:46:48,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
StartBatteryCharge,100,(%)
StartBatteryVoltage,4.19,(V)
EndDateTimeUTC,2022-07-13T01:26:51,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndDateTimeLocal,2022-07-12T19:27:00,(YYYY-MM-DDTHH:MM:SS) (Local date time format)
EndBatteryCharge,100,(%)
EndBatteryVoltage,4.19,(V)
ShutdownMode,1,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample)
SampledVolume,15139.02,(L)
SampledRuntime,126.429,(Hr)
LoggedRuntime,126.429,(Hr)
AverageVolumetricFlowRate,1.996,(L*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,PumpT,PCBT,FdpT,PumpP,PCBP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShdop
0:00:15,1657220490,2022-07-07T19:01:30,2022-07-07T13:01:30,2.016,0.54,33.51,34.71,34.36,848.92,848.78,179.300003,30.08,0.9575,282,0,12.851,1.92798,4.19,53355,40.564709,-105.072944,1527.6,12,0.012850,0.8
0:00:45,1657220520,2022-07-07T19:02:00,2022-07-07T13:02:00,2.010,1.54,33.93,34.78,34.99,848.95,849.19,178.600006,29.98,0.9566,282,0,12.825,1.92314,4.19,53364,40.564711,-105.072971,1527.2,12,0.053970,0.8
0:01:15,1657220550,2022-07-07T19:02:30,2022-07-07T13:02:30,2.009,2.55,34.28,34.88,35.42,849.00,849.63,177.949997,29.03,0.9560,282,0,12.826,1.91943,4.19,53373,40.564707,-105.072996,1530.5,12,0.088408,0.8
0:01:45,1657220580,2022-07-07T19:03:00,2022-07-07T13:03:00,2.010,3.55,34.53,34.94,35.74,848.85,849.85,176.100006,28.61,0.9555,282,0,12.826,1.92240,4.19,53381,40.564713,-105.073006,1529.0,12,0.034438,0.8
0:02:15,1657220610,2022-07-07T19:03:30,2022-07-07T13:03:30,2.010,4.56,34.76,34.97,35.97,848.86,850.09,180.300003,28.23,0.9551,282,0,12.827,1.91980,4.19,53389,40.564727,-105.073022,1527.1,12,0.019018,0.8
0:02:45,1657220640,2022-07-07T19:04:00,2022-07-07T13:04:00,2.010,5.56,34.94,35.08,36.18,848.88,850.14,178.300003,27.96,0.9546,282,0,12.829,1.91795,4.19,53397,40.564740,-105.073021,1528.9,12,0.028270,0.8
0:03:15,1657220670,2022-07-07T19:04:30,2022-07-07T13:04:30,2.012,6.57,35.10,35.09,36.39,849.02,850.32,178.600006,27.63,0.9543,283,0,12.829,1.92463,4.19,53405,40.564739,-105.073026,1530.0,12,0.016448,0.8
0:03:45,1657220700,2022-07-07T19:05:00,2022-07-07T13:05:00,2.008,7.57,35.22,35.13,36.53,848.87,850.51,178.899994,27.37,0.9542,283,0,12.810,1.91572,4.19,53412,40.564736,-105.073038,1527.1,12,0.045746,0.8
0:04:15,1657220730,2022-07-07T19:05:30,2022-07-07T13:05:30,2.010,8.58,35.33,35.20,36.69,848.87,850.51,178.050003,27.27,0.9538,283,0,12.810,1.91721,4.19,53420,40.564726,-105.073023,1523.8,12,0.036494,0.8
0:04:45,1657220760,2022-07-07T19:06:00,2022-07-07T13:06:00,2.008,9.58,35.42,35.23,36.77,848.94,850.52,177.000000,27.04,0.9536,283,0,12.810,1.91647,4.19,53427,40.564713,-105.073004,1522.6,12,0.122846,0.8
0:05:15,1657220790,2022-07-07T19:06:30,2022-07-07T13:06:30,2.010,10.59,35.51,35.23,36.93,848.87,850.69,177.800003,27.32,0.9534,283,0,12.813,1.91461,4.19,53434,40.564714,-105.073032,1522.2,12,0.112052,0.8
0:05:45,1657220820,2022-07-07T19:07:00,2022-07-07T13:07:00,2.012,11.59,35.58,35.30,36.97,848.94,850.75,179.199997,27.04,0.9533,284,0,12.813,1.92054,4.19,53440,40.564726,-105.073038,1523.2,12,0.061166,0.8
0:06:15,1657220850,2022-07-07T19:07:30,2022-07-07T13:07:30,2.007,12.60,35.64,35.31,37.07,848.87,850.82,177.649994,26.50,0.9533,284,0,12.794,1.91240,4.19,53447,40.564737,-105.073060,1522.5,12,0.121818,0.9
0:06:45,1657220880,2022-07-07T19:08:00,2022-07-07T13:08:00,2.007,13.60,35.68,35.36,37.12,848.87,850.87,178.149994,26.35,0.9532,284,0,12.794,1.91461,4.19,53453,40.564730,-105.073060,1522.3,12,0.078642,1.0
0:07:15,1657220910,2022-07-07T19:08:30,2022-07-07T13:08:30,2.008,14.60,35.74,35.36,37.18,848.94,850.91,177.800003,26.64,0.9530,284,0,12.795,1.91351,4.19,53459,40.564738,-105.073072,1520.5,12,0.059110,0.7
